nombre,poblacion,superficie,continente
Afganistán,42495000,652230,Asia
Albania,2810000,28748,Europa
Alemania,83200000,357022,Europa
Andorra,81000,468,Europa
Angola,36800000,1246700,África
Antigua y Barbuda,101000,442,América
Arabia Saudita,36900000,2149690,Asia
Argelia,45600000,2381741,África
Argentina,45538401,2780400,América
Armenia,2970000,29743,Asia
Australia,26679000,7692024,Oceanía
Austria,9020000,83871,Europa
Azerbaiyán,10400000,86600,Asia
Bahamas,412000,13943,América
Bangladés,173000000,147570,Asia
Barbados,281000,430,América
Belice,441000,22966,América
Benín,14500000,112622,África
Bhután,787000,38394,Asia
Bolivia,12300000,1098581,América
Bosnia y Herzegovina,3250000,51197,Europa
Botsuana,2500000,581730,África
Brasil,216000000,8515767,América
Brunéi,460000,5765,Asia
Bulgaria,6500000,110879,Europa
Burkina Faso,24500000,272967,África
Burundi,13700000,27834,África
Bélgica,11600000,30528,Europa
Cabo Verde,598000,4033,África
Camboya,17500000,181035,Asia
Camerún,29300000,475442,África
Canadá,40500000,9984670,América 
Chile,19600000,756102,América
China,1422584933,9596961,Asia
Chipre,1280000,9251,Europa
Colombia,52500000,1141748,América
Comoras,921000,2235,África
Congo (Rep. Dem.),111000000,2344858,África
Congo (Rep. del),6000000,342000,África
Corea,51700000,100210,Asia
Corea ,25900000,120540,Asia
Costa Rica,5300000,51100,América
Croacia,3870000,56594,Europa
Cuba,11100000,109884,América
Dinamarca,5930000,42933,Europa
Dominica,74000,751,América
Ecuador,18500000,256370,América
Egipto,112000000,1002450,África
El Salvador,6500000,21041,América
Emiratos Árabes Unidos,10100000,83600,Asia
Eritrea,3760000,117600,África
Eslovaquia,5450000,49035,Europa
Eslovenia,2100000,20273,Europa
España,47400000,505990,Europa
Estados Unidos,336000000,9833517,América
Estonia,1330000,45227,Europa
Esuatini,1280000,17364,África
Etiopía,126000000,1104300,África
Fiji,936000,18274,Oceanía
Filipinas,118000000,300000,Asia
Finlandia,5600000,338424,Europa
Francia,66438822,551695,Europa
Gabón,2400000,267668,África
Gambia,2800000,11295,África
Georgia,3700000,69700,Asia
Ghana,35000000,238533,África
Granada,126000,344,América
Grecia,10400000,131957,Europa
Guatemala,18600000,108889,América
Guinea,14500000,245857,África
Guinea Ecuatorial,1800000,28051,África
Guinea-Bisáu,2200000,36125,África
Guyana,810000,214969,América
Haití,12000000,27750,América
Honduras,10600000,112492,América
Hungría,9600000,93030,Europa
India,1410000000,3287263,Asia
Indonesia,278000000,1904569,Asia
Irak,46000000,438317,Asia
Irlanda,5200000,70273,Europa
Irán,89000000,1648195,Asia
Islandia,390000,103000,Europa
Israel,9800000,22072,Asia
Italia,59000000,301340,Europa
Jamaica,2800000,10991,América
Japón,123000000,377975,Asia
Jordania,11200000,89342,Asia
Kazajistán,20000000,2724900,Asia
Kenia,56000000,580367,África
Kirguistán,7000000,199951,Asia
Kiribati,130000,811,Oceanía
Kuwait,4500000,17818,Asia
Laos,7600000,236800,Asia
Letonia,1860000,64589,Europa
Liberia,5500000,111369,África
Libia,7000000,1759540,África
Liechtenstein,39000,160,Europa
Lituania,2800000,65300,Europa
Luxemburgo,660000,2586,Europa
Líbano,5600000,10452,Asia
Mauricio,1300000,2040,África
Mauritania,4900000,1030700,África
Micronesia,115000,702,Oceanía
Moldavia,2600000,33846,Europa
Mongolia,3500000,1564116,Asia
Montenegro,620000,13812,Europa
Mozambique,34000000,801590,África
México,129000000,1964375,América
Mónaco,39000,2,Europa
Namibia,2600000,825615,África
Nauru,13000,21,Oceanía
Nepal,31000000,147181,Asia
Nicaragua,7000000,130373,América
Nigeria,227882945,923768,África
Noruega,5500000,385207,Europa
Nueva Zelanda,5300000,268021,Oceanía
Níger,28000000,1267000,África
Omán,5200000,309500,Asia
Pakistán,242000000,881913,Asia
Palaos,18000,459,Oceanía
Panamá,4600000,75417,América
Papúa Nueva Guinea,9900000,462840,Oceanía
Paraguay,7500000,406752,América
Países Bajos,17800000,41543,Europa
Perú,34000000,1285216,América
Polonia,37400000,312696,Europa
Portugal,10300000,92212,Europa
Qatar,3100000,11586,Asia
Reino Unido,67800000,243610,Europa
República Centroafricana,6200000,622984,África
República Checa,10700000,78867,Europa
República Dominicana,11300000,48671,América
Ruanda,14000000,26338,África
Rumania,19000000,238397,Europa
Rusia,144000000,17098242,Europa
Samoa,220000,2842,Oceanía
San Cristóbal y Nieves,48000,261,América
San Marino,34000,61,Europa
Santa Lucía,184000,616,América
Santo Tomé y Príncipe,240000,964,África
Senegal,18000000,196722,África
Serbia,6700000,77474,Europa
Seychelles,100000,455,África
Sierra Leona,8900000,71740,África
Singapur,5900000,728,Asia
Siria,23000000,185180,Asia
Somalia,19000000,637657,África
Sri Lanka,22000000,65610,Asia
Sudáfrica,62000000,1219090,África
Sudán,12000000,619745,África
Sudán,46000000,1861484,África
Suecia,10500000,450295,Europa
Suiza,8900000,41284,Europa
Surinam,630000,163820,América
Tailandia,70000000,513120,Asia
Tanzania,67000000,945087,África
Tayikistán,10000000,143100,Asia
Timor Oriental,1400000,14874,Asia
Togo,9400000,56785,África
Tonga,106000,747,Oceanía
Trinidad y Tobago,1400000,5130,América
Turkmenistán,6500000,488100,Asia
Turquía,87000000,783562,Asia
Tuvalu,12000,26,Oceanía
Túnez,12500000,163610,África
Ucrania,37000000,603500,Europa
Uganda,49000000,241038,África
Uruguay,3500000,176215,América
Uzbekistán,36000000,447400,Asia
Vanuatu,340000,12189,Oceanía
Venezuela,29000000,916445,América
Vietnam,100000000,331212,Asia
Yemen,34000000,527968,Asia
Yibuti,1200000,23200,África
Zambia,21000000,752612,África
Zimbabue,17000000,390757,África
